Code,Name,children,teenager,adult,elder
E09000001,City of London,0.1306,0.0443,0.6661,0.1589
E09000002,Barking and Dagenham,0.2299,0.0813,0.6020,0.0867
E09000003,Barnet,0.1769,0.0700,0.6164,0.1367
E09000004,Bexley,0.1704,0.0710,0.6021,0.1565
E09000005,Brent,0.1786,0.0686,0.6364,0.1164
E09000006,Bromley,0.1683,0.0681,0.5975,0.1660
E09000007,Camden,0.1443,0.0608,0.6818,0.1132
E09000008,Croydon,0.1836,0.0736,0.6141,0.1286
E09000009,Ealing,0.1828,0.0687,0.6261,0.1224
E09000010,Enfield,0.1887,0.0759,0.6099,0.1255
E09000011,Greenwich,0.1847,0.0658,0.6510,0.0985
E09000012,Hackney,0.1729,0.0642,0.6912,0.0717
E09000013,Hammersmith and Fulham,0.1554,0.0536,0.6882,0.1029
E09000014,Haringey,0.1661,0.0676,0.6691,0.0972
E09000015,Harrow,0.1763,0.0707,0.6030,0.1500
E09000016,Havering,0.1683,0.0676,0.5939,0.1702
E09000017,Hillingdon,0.1834,0.0694,0.6203,0.1269
E09000018,Hounslow,0.1854,0.0655,0.6341,0.1150
E09000019,Islington,0.1334,0.0511,0.7330,0.0825
E09000020,Kensington and Chelsea,0.1396,0.0545,0.6546,0.1513
E09000021,Kingston upon Thames,0.1684,0.0648,0.6358,0.1310
E09000022,Lambeth,0.1439,0.0555,0.7221,0.0785
E09000023,Lewisham,0.1732,0.0608,0.6779,0.0881
E09000024,Merton,0.1779,0.0613,0.6403,0.1204
E09000025,Newham,0.1864,0.0689,0.6732,0.0714
E09000026,Redbridge,0.1859,0.0761,0.6190,0.1190
E09000027,Richmond upon Thames,0.1750,0.0668,0.6088,0.1494
E09000028,Southwark,0.1579,0.0561,0.7070,0.0790
E09000029,Sutton,0.1768,0.0689,0.6101,0.1442
E09000030,Tower Hamlets,0.1693,0.0638,0.7076,0.0593
E09000031,Waltham Forest,0.1861,0.0657,0.6473,0.1010
E09000032,Wandsworth,0.1561,0.0473,0.7066,0.0900
E09000033,Westminster,0.1408,0.0562,0.6859,0.1170
Overall,,17.02%,6.44%,64.95%,11.59%
